1            0.025644            0.025644                   0
2            0.029432            0.027538            0.001894
3              0.0236           0.0262253          0.00170846
4            0.031008            0.027421          0.00169972
5            0.024896            0.026916          0.00141012
6              0.0412           0.0292967          0.00264447
7            0.020968           0.0281069          0.00253195
8            0.019052            0.026975          0.00246763
9             0.02226           0.0264511          0.00223841
10            0.023652           0.0261712          0.00202157
11            0.032116           0.0267116          0.00190677
12            0.018476           0.0260253          0.00187105
13            0.033344           0.0265883          0.00181085
14            0.023712           0.0263829          0.00168906
15            0.029236           0.0265731          0.00158389
16             0.02882           0.0267135          0.00148824
17               0.027           0.0267304          0.00139806
18             0.04386            0.027682          0.00162574
19            0.018228           0.0271844          0.00161629
20             0.03404           0.0275272           0.0015712
